42.75,15.927742004394531,0.48894783377542,0.4771986970684039,0.3954022988505747,0.3202033036848793,0.4474327628361858,0.3415977961432507,0.4257907542579075,0.4280359820089955,0.4975728155339806,0.39892665474060823,0.553,0.586,0.172,0.252,0.183,0.372,0.525,0.571,0.615,0.446
42.99,15.993948817253113,0.4871559633027523,0.458486407053637,0.37949640287769787,0.33667083854818525,0.4217687074829932,0.3574380165289256,0.44641275465013286,0.4606440071556351,0.47503566333808844,0.39348591549295775,0.531,0.624,0.211,0.269,0.186,0.346,0.504,0.515,0.666,0.447
43.15,16.01046907901764,0.4645868465430017,0.450723638869745,0.39148936170212767,0.3380281690140845,0.4379391100702576,0.3811764705882353,0.43966244725738396,0.4675090252707581,0.48701809598741147,0.3908333333333333,0.551,0.654,0.184,0.288,0.187,0.324,0.521,0.518,0.619,0.469
43.37,15.902719020843506,0.4582701062215478,0.45092250922509225,0.40718562874251496,0.3240963855421687,0.46408839779005523,0.3870967741935484,0.4210122699386503,0.45966386554621846,0.5004055150040552,0.4157844080846968,0.604,0.611,0.204,0.269,0.168,0.336,0.549,0.547,0.617,0.432
43.42,15.856479406356812,0.4766277128547579,0.46715867158671587,0.3805147058823529,0.319,0.44075829383886256,0.38957816377171217,0.45080500894454384,0.44849959448499593,0.5004009623095429,0.40018570102135564,0.571,0.633,0.207,0.319,0.186,0.314,0.504,0.553,0.624,0.431
43.49,15.870447635650635,0.45531587057010786,0.48157248157248156,0.4006849315068493,0.3355525965379494,0.44988344988344986,0.34852801519468185,0.45646196150320806,0.45303408146300916,0.49763779527559054,0.4081818181818182,0.591,0.588,0.234,0.252,0.193,0.367,0.498,0.545,0.632,0.449
44.14,15.857164978981018,0.4807856532877882,0.46409674981103555,0.40166666666666667,0.32309217046580774,0.446,0.4169054441260745,0.47047434656340753,0.4558452481076535,0.4984917043740573,0.40573414422241527,0.563,0.614,0.241,0.326,0.223,0.291,0.486,0.542,0.661,0.467
44.6,15.646127700805664,0.5351521511017838,0.5380859375,0.3741721854304636,0.3277777777777778,0.45271629778672035,0.3615023474178404,0.43064024390243905,0.49952874646559847,0.5039308176100629,0.4054878048780488,0.51,0.551,0.226,0.295,0.225,0.385,0.565,0.53,0.641,0.532
44.26,15.789117217063904,0.5110047846889952,0.46987951807228917,0.40341880341880343,0.3133097762073027,0.4717832957110609,0.34353146853146854,0.47652347652347654,0.47202797202797203,0.4952240999265246,0.42674532940019666,0.534,0.663,0.236,0.266,0.209,0.393,0.477,0.54,0.674,0.434
44.27,15.812891960144043,0.5092421441774492,0.4905511811023622,0.40932642487046633,0.3237063778580024,0.45064377682403434,0.3446069469835466,0.4875675675675676,0.437403400309119,0.5294117647058824,0.40752110514198003,0.551,0.623,0.237,0.269,0.21,0.377,0.451,0.566,0.612,0.531
44.26,15.757119536399841,0.4982046678635548,0.44645340751043117,0.39750445632798576,0.31096408317580343,0.4738955823293173,0.37639198218262804,0.46065259117082535,0.49200376293508935,0.5022970903522205,0.4344422700587084,0.555,0.642,0.223,0.329,0.236,0.338,0.48,0.523,0.656,0.444
44.55,15.680548071861267,0.5295918367346939,0.4584450402144772,0.39590443686006827,0.3186046511627907,0.4397705544933078,0.36837029893924783,0.47368421052631576,0.4792219274977896,0.5249169435215947,0.40932203389830507,0.519,0.684,0.232,0.274,0.23,0.382,0.477,0.542,0.632,0.483
44.53,15.710125923156738,0.4907488986784141,0.4889064976228209,0.37621023513139695,0.3118932038834951,0.4476744186046512,0.3554006968641115,0.49209694415173866,0.4990403071017274,0.5054773082942097,0.42564559216384684,0.557,0.617,0.272,0.257,0.231,0.408,0.467,0.52,0.646,0.478
44.3,15.70402216911316,0.49586016559337626,0.478494623655914,0.41098169717138106,0.32786885245901637,0.433852140077821,0.36134453781512604,0.4597069597069597,0.4594363791631085,0.5213464696223317,0.40924092409240925,0.539,0.623,0.247,0.24,0.223,0.387,0.502,0.538,0.635,0.496
44.57,15.64964473247528,0.5009107468123861,0.46403385049365303,0.39402173913043476,0.3212045169385194,0.47783251231527096,0.3509259259259259,0.47248576850094876,0.47719298245614034,0.49592894152479644,0.4543478260869565,0.55,0.658,0.29,0.256,0.194,0.379,0.498,0.544,0.67,0.418
44.31,15.734459400177002,0.5129434324065196,0.4619217081850534,0.4019607843137255,0.31058495821727017,0.49878345498783455,0.3425760286225403,0.4733201581027668,0.4715808170515098,0.5063957863054929,0.41459074733096085,0.535,0.649,0.287,0.223,0.205,0.383,0.479,0.531,0.673,0.466
44.39,15.682178378105164,0.4968094804010939,0.45930644019815997,0.4131147540983607,0.31072210065645517,0.46466809421841543,0.3744813278008299,0.4612546125461255,0.4640692640692641,0.5080213903743316,0.43566362715298884,0.545,0.649,0.252,0.284,0.217,0.361,0.5,0.536,0.665,0.43
